id_personne;code_dept_naiss;code_lim_jur;code_pays_naiss;code_pays_nat_1;code_sit_familiale;intitule_lieu_naissance
14230;45;NULL;FR;FR;1;ORLEANS
14880;85;NULL;FR;FR;1;LES SABLES D'OLONNES
15640;NULL;NULL;FR;FR;7;
15870;NULL;NULL;FR;FR;2;
15900;NULL;NULL;FR;FR;2;
16480;41;NULL;FR;FR;2;SOUESMES
16740;NULL;NULL;FR;FR;7;
17180;28;NULL;FR;FR;2;CHATEAUDUN
17200;45;NULL;FR;FR;3;ORLEAN
17370;45;NULL;FR;FR;2;FLEURY LES AUBRAIS
17980;NULL;NULL;FR;FR;2;
19070;45;NULL;FR;FR;2;MARIGNY LES USAGES
19090;NULL;NULL;FR;FR;99;
19260;45;NULL;FR;FR;2;ORLEANS
19550;45;NULL;FR;FR;2;CHECY
19840;75;NULL;FR;FR;2;PARIS 06
19900;92;NULL;FR;FR;2;BOULOGNE BILLANCOURT
20100;34;NULL;FR;FR;3;MONTPELLIER
20210;NULL;NULL;DZ;FR;2;PALISSY
20330;92;NULL;FR;FR;2;NEUILLY SUR SEINE
20800;88;NULL;FR;FR;2;MOYENMOUTIER
20960;NULL;NULL;FR;FR;2;
21150;41;NULL;FR;FR;2;BLOIS
21480;45;NULL;FR;FR;2;COURCY AUX LOGES
21560;45;NULL;FR;FR;2;ORLEANS
21870;75;NULL;FR;FR;1;PARIS
22290;45;NULL;FR;FR;2;ORLEANS
22350;NULL;NULL;DZ;FR;1;SOUCARAS
22710;45;NULL;FR;FR;7;BONNY SUR LOIRE
22760;NULL;NULL;FR;FR;5;
22990;3;NULL;FR;FR;2;ST POURCAIN SUR SIOULE
23640;41;NULL;FR;FR;2;ST AIGNAN
24550;45;NULL;FR;FR;2;SULLY LA CHAPELLE
24580;45;NULL;FR;FR;2;OUTARVILLE
25270;NULL;NULL;MA;FR;2;CASABLANCA
26710;28;NULL;FR;FR;2;CHATEAUDUN
27210;NULL;NULL;FR;FR;2;
27580;45;NULL;FR;FR;2;FLEURY LES AUBRAIS
27650;45;NULL;FR;FR;2;ST PRIVE ST MESMIN
27690;NULL;NULL;FR;FR;2;
28180;86;NULL;FR;FR;2;VICQ SUR GARTEMPE
28390;NULL;NULL;FR;NULL;2;
28410;59;NULL;FR;FR;2;CAMBRAI
28560;NULL;NULL;FR;FR;7;
28800;13;NULL;FR;FR;2;MARSEILLE
29120;NULL;NULL;FR;FR;2;
29380;45;NULL;FR;FR;2;COINCES
29410;56;NULL;FR;FR;1;PLUMELIAU
29460;NULL;NULL;FR;FR;5;
29760;NULL;NULL;FR;FR;3;
30730;36;NULL;FR;FR;2;CHATEAUROUX
30840;6;NULL;FR;FR;5;
30900;NULL;NULL;FR;FR;2;
31500;78;NULL;FR;FR;3;ST GERMAIN EN LAYE
32170;45;NULL;FR;FR;2;ORLEANS
33000;NULL;NULL;FR;NULL;1;
33280;62;NULL;FR;FR;2;LILLERS
33300;NULL;NULL;FR;FR;99;
34270;NULL;NULL;FR;FR;2;
34500;NULL;NULL;FR;FR;99;
34800;NULL;NULL;FR;FR;2;
34810;34;NULL;FR;FR;2;PEZENAS
35360;NULL;NULL;FR;FR;99;
35800;NULL;NULL;FR;FR;2;
36160;NULL;NULL;FR;FR;2;
36220;45;NULL;FR;FR;3;ORLEANS
36440;NULL;NULL;FR;FR;1;
36740;NULL;NULL;FR;FR;99;
36830;45;NULL;FR;FR;2;PITHIVIERS
36900;NULL;NULL;FR;FR;99;
37150;NULL;NULL;FR;NULL;7;
37330;72;NULL;FR;FR;2;LE MANS
37360;45;NULL;FR;FR;2;ORLEANS
37370;33;NULL;FR;FR;6;LIBOURNE
37500;45;NULL;FR;FR;5;ORLEANS
37790;59;NULL;FR;FR;2;VALENCIENNES
37880;86;NULL;FR;FR;2;LUSSAC LES CHATEAUX
38170;45;NULL;FR;FR;4;ORLEANS
38530;49;NULL;FR;FR;2;BAUNE
38830;NULL;NULL;FR;FR;1;
38990;75;NULL;FR;FR;3;PARIS
39240;NULL;NULL;FR;FR;2;
39660;NULL;NULL;FR;FR;2;
39800;69;NULL;FR;FR;2;HUISSEAU SUR MAUVES
40070;45;NULL;FR;FR;3;ORLEANS
40100;NULL;NULL;FR;FR;3;
40710;45;NULL;FR;FR;3;FAY AUX LOGES
40980;44;NULL;FR;FR;6;NANTES
41100;NULL;NULL;FR;FR;2;
41110;75;NULL;FR;FR;2;PARIS
41180;NULL;NULL;FR;FR;1;
42590;NULL;NULL;FR;FR;2;
43460;NULL;NULL;FR;FR;2;
43520;NULL;NULL;FR;FR;3;
43590;NULL;NULL;FR;FR;2;
43720;45;NULL;FR;FR;7;LA CHAPELLE ST MESMIN
43900;NULL;NULL;FR;FR;1;
44930;NULL;NULL;FR;NULL;1;
44940;45;NULL;FR;FR;1;ORLEANS
44960;NULL;NULL;FR;FR;1;
45170;75;NULL;FR;FR;6;PARIS
45530;45;NULL;FR;FR;3;ORLEANS
45930;NULL;NULL;FR;FR;1;
46420;13;NULL;FR;FR;4;MARSEILLE
46560;21;NULL;FR;FR;3;MONT BARD
46700;63;NULL;FR;FR;2;CLERMONT FERRAND
47150;45;NULL;FR;FR;2;THIMORY
47230;12;NULL;FR;FR;7;LA BATIDE L EVEQUE
47580;NULL;NULL;FR;FR;7;
47790;41;NULL;FR;FR;2;BLOIS
47980;NULL;NULL;FR;FR;1;
48070;45;NULL;FR;FR;2;ERVAUVILLE
48640;45;NULL;FR;FR;2;DARVOY
48680;NULL;NULL;FR;NULL;99;
48700;45;NULL;FR;FR;2;NEUVILLE AUX BOIS
48780;3;NULL;FR;FR;2;ST MENOUX
48880;NULL;NULL;FR;FR;7;
49620;NULL;NULL;FR;FR;2;
49630;28;NULL;FR;FR;2;GUILLONVILLE
49700;NULL;NULL;FR;FR;2;
49770;NULL;NULL;FR;FR;2;
49850;NULL;NULL;FR;FR;2;
49860;NULL;NULL;DZ;FR;7;ALGERIE
49960;NULL;NULL;FR;NULL;7;
50550;28;NULL;FR;FR;2;CHARTRES
50840;36;NULL;FR;FR;6;SELLES S NAHON
50890;30;NULL;FR;FR;2;NIMES
51270;52;NULL;FR;FR;2;ST DIZIER
51370;92;NULL;FR;FR;7;NEUILLY SUR SEINE
52170;45;NULL;FR;FR;2;UGINE
52290;91;NULL;FR;FR;3;NANTERRE
52370;13;NULL;FR;FR;5;MARSEILLE
52390;971;NULL;FR;FR;2;RIVIERE SAINT LOUIS
52440;13;NULL;FR;FR;3;SALON DE PROVENCE
52610;NULL;NULL;FR;NULL;7;
53070;44;NULL;FR;FR;2;PIERRIC
53110;NULL;NULL;VN;FR;2;HANOI
53150;NULL;NULL;FR;FR;2;
53510;NULL;NULL;FR;FR;7;
53750;18;NULL;FR;FR;1;VIERZON
54510;NULL;NULL;FR;FR;2;
54710;NULL;NULL;FR;FR;7;
54850;18;NULL;FR;FR;7;BOURGES
55160;94;NULL;FR;FR;3;VILLENEUVE ST GEORGES
55490;NULL;NULL;FR;FR;2;
55860;45;NULL;FR;FR;2;ORLEANS
56810;NULL;NULL;FR;FR;2;
57310;45;NULL;FR;FR;2;ORLEANS
57440;17;NULL;FR;FR;2;LA ROCHELLE
57520;75;NULL;FR;FR;2;PARIS 17
57640;NULL;NULL;FR;FR;1;ST PIERRE
58000;NULL;NULL;FR;FR;7;
59000;NULL;NULL;LA;FR;5;VIENTIANE
59070;29;NULL;FR;FR;2;GOULIEN
60180;45;NULL;FR;FR;2;ORLEANS
60530;NULL;NULL;FR;FR;1;
60600;36;NULL;FR;FR;2;SHASSENEUIL
61520;93;NULL;FR;FR;2;DUGNY
61990;45;NULL;FR;FR;1;ORLEANS
62350;42;NULL;FR;FR;6;ROANNE
63880;NULL;NULL;FR;FR;2;
63960;NULL;NULL;FR;FR;2;
64350;45;NULL;FR;FR;2;HUISSEAU SUR MAUVES
64660;45;NULL;FR;FR;3;ORLEANS
64700;45;NULL;FR;FR;2;ORLEANS
65000;36;NULL;FR;FR;2;LE PECHEREAU
65270;3;NULL;FR;FR;2;FRANCHESSE
65460;49;NULL;FR;FR;2;COMBREE
65490;NULL;NULL;FR;FR;7;
65670;28;NULL;FR;FR;2;OZOIR LE BREUIL
65840;45;NULL;FR;FR;2;ORLEANS
65850;NULL;NULL;FR;FR;2;
66200;45;NULL;FR;FR;4;ORLEANS
66440;NULL;NULL;FR;FR;2;
66940;93;NULL;FR;FR;5;VILLEMOMBLE
67270;75;NULL;FR;FR;6;PARIS 04
67290;76;NULL;FR;FR;7;SOTTEVILLE LES ROUEN
67530;NULL;NULL;FR;FR;2;
67760;NULL;NULL;FR;FR;2;
68560;41;NULL;FR;FR;2;ORLEANS
69910;NULL;NULL;FR;FR;2;
70150;16;NULL;FR;FR;7;ASNIERES SUR NOUERE
70580;45;NULL;FR;FR;2;ORLEANS
71240;NULL;NULL;FR;FR;1;
72320;94;NULL;FR;FR;2;ALFORTVILLE
72880;75;NULL;FR;FR;3;PARIS 20
72900;1;NULL;FR;FR;1;OYONNAX
73370;45;NULL;FR;FR;5;PITHIVIERS
73700;35;NULL;FR;FR;2;RENNES
73730;NULL;NULL;FR;NULL;3;
76890;37;NULL;FR;FR;6;CHINON
77130;18;NULL;FR;FR;7;VIERZON
77630;86;NULL;FR;FR;2;CHATELLERAULT
78320;NULL;NULL;FR;FR;7;
78590;21;NULL;FR;FR;3;SEMUR EN AUXOIS
78620;18;NULL;FR;FR;2;VIERZON
79070;37;NULL;FR;FR;2;SAINT SYMPHORIEN
79170;94;NULL;FR;FR;5;NOGENT SUR MARNE
79520;10;NULL;FR;FR;1;PINEY
79910;21;NULL;FR;FR;1;AUXONNE
79990;28;NULL;FR;FR;2;CHARTES
80100;NULL;NULL;FR;FR;7;
80190;13;NULL;FR;FR;5;TARASCON
80480;NULL;NULL;FR;FR;7;
80490;92;NULL;FR;FR;2;NEUILLY SUR SEINE
