id_personne,code_dept_naiss,code_lim_jur,code_pays_naiss,code_pays_nat_1,code_sit_familiale,intitule_lieu_naissance
0000012810,974,NULL,FR,FR,02,SALINE LES HAUTS
0000012970,75,NULL,FR,FR,07,PARIS
0000013110,NULL,NULL,FR,FR,07,
0000013120,56,NULL,FR,FR,02,BOHAL
0000013140,28,NULL,FR,FR,05,TOURY
0000013200,45,NULL,FR,FR,07,LANEUVILLE SUR ESSONE
0000013420,92,NULL,FR,FR,03,BOIS COLOMBE
0000013440,45,NULL,FR,FR,02,ORLEANS
0000013610,45,NULL,FR,FR,02,ORLEANS
0000014230,45,NULL,FR,FR,01,ORLEANS
0000014880,85,NULL,FR,FR,01,LES SABLES D'OLONNES
0000015640,NULL,NULL,FR,FR,07,
0000015870,NULL,NULL,FR,FR,02,
0000015900,NULL,NULL,FR,FR,02,
0000016480,41,NULL,FR,FR,02,SOUESMES
0000016740,NULL,NULL,FR,FR,07,
0000017180,28,NULL,FR,FR,02,CHATEAUDUN
0000017200,45,NULL,FR,FR,03,ORLEAN
0000017370,45,NULL,FR,FR,02,FLEURY LES AUBRAIS
0000017980,NULL,NULL,FR,FR,02,
0000019070,45,NULL,FR,FR,02,MARIGNY LES USAGES
0000019090,NULL,NULL,FR,FR,99,
0000019260,45,NULL,FR,FR,02,ORLEANS
0000019550,45,NULL,FR,FR,02,CHECY
0000019840,75,NULL,FR,FR,02,PARIS 06
0000019900,92,NULL,FR,FR,02,BOULOGNE BILLANCOURT
0000020100,34,NULL,FR,FR,03,MONTPELLIER
0000020210,NULL,NULL,DZ,FR,02,PALISSY
0000020330,92,NULL,FR,FR,02,NEUILLY SUR SEINE
0000020800,88,NULL,FR,FR,02,MOYENMOUTIER
0000020960,NULL,NULL,FR,FR,02,
0000021150,41,NULL,FR,FR,02,BLOIS
0000021480,45,NULL,FR,FR,02,COURCY AUX LOGES
0000021560,45,NULL,FR,FR,02,ORLEANS
0000021870,75,NULL,FR,FR,01,PARIS
0000022290,45,NULL,FR,FR,02,ORLEANS
0000022350,NULL,NULL,DZ,FR,01,SOUCARAS
0000022710,45,NULL,FR,FR,07,BONNY SUR LOIRE
0000022760,NULL,NULL,FR,FR,05,
0000022990,03,NULL,FR,FR,02,ST POURCAIN SUR SIOULE
0000023640,41,NULL,FR,FR,02,ST AIGNAN
0000024550,45,NULL,FR,FR,02,SULLY LA CHAPELLE
0000024580,45,NULL,FR,FR,02,OUTARVILLE
0000025270,NULL,NULL,MA,FR,02,CASABLANCA
0000026710,28,NULL,FR,FR,02,CHATEAUDUN
0000027210,NULL,NULL,FR,FR,02,
0000027580,45,NULL,FR,FR,02,FLEURY LES AUBRAIS
0000027650,45,NULL,FR,FR,02,ST PRIVE ST MESMIN
0000027690,NULL,NULL,FR,FR,02,
0000028180,86,NULL,FR,FR,02,VICQ SUR GARTEMPE
0000028390,NULL,NULL,FR,NULL,02,
0000028410,59,NULL,FR,FR,02,CAMBRAI
0000028560,NULL,NULL,FR,FR,07,
0000028800,13,NULL,FR,FR,02,MARSEILLE
0000029120,NULL,NULL,FR,FR,02,
0000029380,45,NULL,FR,FR,02,COINCES
0000029410,56,NULL,FR,FR,01,PLUMELIAU
0000029460,NULL,NULL,FR,FR,05,
0000029760,NULL,NULL,FR,FR,03,
0000030730,36,NULL,FR,FR,02,CHATEAUROUX
0000030840,06,NULL,FR,FR,05,
0000030900,NULL,NULL,FR,FR,02,
0000031500,78,NULL,FR,FR,03,ST GERMAIN EN LAYE
0000032170,45,NULL,FR,FR,02,ORLEANS
0000033000,NULL,NULL,FR,NULL,01,
0000033280,62,NULL,FR,FR,02,LILLERS
0000033300,NULL,NULL,FR,FR,99,
0000034270,NULL,NULL,FR,FR,02,
0000034500,NULL,NULL,FR,FR,99,
0000034800,NULL,NULL,FR,FR,02,
0000034810,34,NULL,FR,FR,02,PEZENAS
0000035360,NULL,NULL,FR,FR,99,
0000035800,NULL,NULL,FR,FR,02,
0000036160,NULL,NULL,FR,FR,02,
0000036220,45,NULL,FR,FR,03,ORLEANS
0000036440,NULL,NULL,FR,FR,01,
0000036740,NULL,NULL,FR,FR,99,
0000036830,45,NULL,FR,FR,02,PITHIVIERS
0000036900,NULL,NULL,FR,FR,99,
0000037150,NULL,NULL,FR,NULL,07,
0000037330,72,NULL,FR,FR,02,LE MANS
0000037360,45,NULL,FR,FR,02,ORLEANS
0000037370,33,NULL,FR,FR,06,LIBOURNE
0000037500,45,NULL,FR,FR,05,ORLEANS
0000037790,59,NULL,FR,FR,02,VALENCIENNES
0000037880,86,NULL,FR,FR,02,LUSSAC LES CHATEAUX
0000038170,45,NULL,FR,FR,04,ORLEANS
0000038530,49,NULL,FR,FR,02,BAUNE
0000038830,NULL,NULL,FR,FR,01,
0000038990,75,NULL,FR,FR,03,PARIS
0000039240,NULL,NULL,FR,FR,02,
0000039660,NULL,NULL,FR,FR,02,
0000039800,69,NULL,FR,FR,02,HUISSEAU SUR MAUVES
0000040070,45,NULL,FR,FR,03,ORLEANS
0000040100,NULL,NULL,FR,FR,03,
0000040710,45,NULL,FR,FR,03,FAY AUX LOGES
0000040980,44,NULL,FR,FR,06,NANTES
